Foreign Key présente Supabase

| constraint_name                                     | source_table                | source_column       | target_table         | target_column |
| --------------------------------------------------- | --------------------------- | ------------------- | -------------------- | ------------- |
| fk_menus_journaliers_dessert_id                     | menus_journaliers           | dessert_id          | fiches_menu_jour     | id            |
| menus_journaliers_dessert_id_fkey                   | menus_journaliers           | dessert_id          | fiches_menu_jour     | id            |
| menus_journaliers_entree_id_fkey                    | menus_journaliers           | entree_id           | fiches_menu_jour     | id            |
| fk_menus_journaliers_entree_id                      | menus_journaliers           | entree_id           | fiches_menu_jour     | id            |
| menus_journaliers_plat_id_fkey                      | menus_journaliers           | plat_id             | fiches_menu_jour     | id            |
| fk_menus_journaliers_plat_id                        | menus_journaliers           | plat_id             | fiches_menu_jour     | id            |
| fk_sous_recette_ingredients_sous_recette_id         | sous_recette_ingredients    | sous_recette_id     | sous_recettes        | id            |
| sous_recette_ingredients_sous_recette_id_fkey       | sous_recette_ingredients    | sous_recette_id     | sous_recettes        | id            |
| fiches_ingredients_fiche_id_fkey                    | fiches_ingredients          | fiche_id            | fiches_techniques    | id            |
| fk_fiches_ingredients_fiche_id                      | fiches_ingredients          | fiche_id            | fiches_techniques    | id            |
| fk_fiches_ingredients_sous_recette_id               | fiches_ingredients          | sous_recette_id     | sous_recettes        | id            |
| fiches_ingredients_sous_recette_id_fkey             | fiches_ingredients          | sous_recette_id     | sous_recettes        | id            |
| fk_menus_fiches_fiche_id                            | menus_fiches                | fiche_id            | fiches_techniques    | id            |
| menus_fiches_fiche_id_fkey                          | menus_fiches                | fiche_id            | fiches_techniques    | id            |
| fk_menus_fiches_menu_id                             | menus_fiches                | menu_id             | menus_du_jour        | id            |
| menus_fiches_menu_id_fkey                           | menus_fiches                | menu_id             | menus_du_jour        | id            |
| fk_recipe_items_recipe_id                           | recipe_items                | recipe_id           | recipes              | id            |
| recipe_items_recipe_id_fkey                         | recipe_items                | recipe_id           | recipes              | id            |
| fk_menu_items_recipe_id                             | menu_items                  | recipe_id           | recipes              | id            |
| menu_items_recipe_id_fkey                           | menu_items                  | recipe_id           | recipes              | id            |
| fiche_items_fiche_id_fkey                           | fiche_items                 | fiche_id            | fiches               | id            |
| fk_fiche_items_fiche_id                             | fiche_items                 | fiche_id            | fiches               | id            |
| menu_fiches_fiche_id_fkey                           | menu_fiches                 | fiche_id            | fiches               | id            |
| fk_menu_fiches_fiche_id                             | menu_fiches                 | fiche_id            | fiches               | id            |
| fk_menu_fiches_menu_id                              | menu_fiches                 | menu_id             | menus                | id            |
| menu_fiches_menu_id_fkey                            | menu_fiches                 | menu_id             | menus                | id            |
| fk_fiche_produits_fiche_id                          | fiche_produits              | fiche_id            | fiches_techniques    | id            |
| fk_fiche_produit_fiche                              | fiche_produits              | fiche_id            | fiches_techniques    | id            |
| fk_fiche_cout_history_fiche_id                      | fiche_cout_history          | fiche_id            | fiches_techniques    | id            |
| fiche_cout_history_fiche_id_fkey                    | fiche_cout_history          | fiche_id            | fiches_techniques    | id            |
| ventes_boissons_boisson_id_fkey                     | ventes_boissons             | boisson_id          | fiches_techniques    | id            |
| fk_ventes_boissons_boisson_id                       | ventes_boissons             | boisson_id          | fiches_techniques    | id            |
| invoices_supplier_id_fkey                           | invoices                    | supplier_id         | suppliers            | id            |
| fk_invoices_supplier_id                             | invoices                    | supplier_id         | suppliers            | id            |
| invoice_lines_invoice_id_fkey                       | invoice_lines               | invoice_id          | invoices             | id            |
| fk_invoice_lines_invoice_id                         | invoice_lines               | invoice_id          | invoices             | id            |
| stock_movements_zone_id_fkey                        | stock_movements             | zone_id             | zones                | id            |
| fk_stock_movements_zone_id                          | stock_movements             | zone_id             | zones                | id            |
| fk_technical_sheets_category_id                     | technical_sheets            | category_id         | categories           | id            |
| technical_sheets_category_id_fkey                   | technical_sheets            | category_id         | categories           | id            |
| fk_technical_sheet_ingredients_sub_sheet_id         | technical_sheet_ingredients | sub_sheet_id        | technical_sheets     | id            |
| technical_sheet_ingredients_sub_sheet_id_fkey       | technical_sheet_ingredients | sub_sheet_id        | technical_sheets     | id            |
