Table présente Supabase

| table_schema | table_name                  | column_name             | data_type                   | is_nullable | column_default                                  |
| ------------ | --------------------------- | ----------------------- | --------------------------- | ----------- | ----------------------------------------------- |
| public       | access_rights_templates     | id                      | uuid                        | NO          | gen_random_uuid()                               |
| public       | access_rights_templates     | nom                     | text                        | NO          | null                                            |
| public       | access_rights_templates     | droits                  | jsonb                       | NO          | null                                            |
| public       | access_rights_templates     | created_at              | timestamp without time zone | YES         | now()                                           |
| public       | access_rights_templates     | mama_id                 | uuid                        | YES         | null                                            |
| public       | achats                      | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | achats                      | supplier_product_id     | uuid                        | YES         | null                                            |
| public       | achats                      | quantite                | numeric                     | YES         | null                                            |
| public       | achats                      | prix                    | numeric                     | YES         | null                                            |
| public       | achats                      | date_achat              | date                        | YES         | null                                            |
| public       | achats                      | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | admin_cleanup_log           | id                      | integer                     | NO          | nextval('admin_cleanup_log_id_seq'::regclass)   |
| public       | admin_cleanup_log           | object_type             | text                        | YES         | null                                            |
| public       | admin_cleanup_log           | object_name             | text                        | YES         | null                                            |
| public       | admin_cleanup_log           | detail                  | text                        | YES         | null                                            |
| public       | admin_cleanup_log           | deleted_at              | timestamp without time zone | YES         | now()                                           |
| public       | aide_modules                | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | aide_modules                | mama_id                 | uuid                        | NO          | null                                            |
| public       | aide_modules                | module                  | text                        | NO          | null                                            |
| public       | aide_modules                | contenu                 | text                        | YES         | null                                            |
| public       | aide_modules                | ordre                   | integer                     | YES         | 0                                               |
| public       | aide_modules                | actif                   | boolean                     | YES         | true                                            |
| public       | aide_modules                | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | alertes                     | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | alertes                     | mama_id                 | uuid                        | NO          | null                                            |
| public       | alertes                     | type                    | text                        | NO          | null                                            |
| public       | alertes                     | message                 | text                        | YES         | null                                            |
| public       | alertes                     | niveau                  | text                        | YES         | 'info'::text                                    |
| public       | alertes                     | lu                      | boolean                     | YES         | false                                           |
| public       | alertes                     | actif                   | boolean                     | YES         | true                                            |
| public       | alertes                     | created_at              | timestamp with time zone    | YES         | now()                                           |
| public       | api_logs                    | id                      | uuid                        | NO          | uuid_generate_v4()                              |
| public       | api_logs                    | token_id                | uuid                        | YES         | null                                            |
| public       | api_logs                    | endpoint                | text                        | YES         | null                                            |
| public       | api_logs                    | methode                 | text                        | YES         | null                                            |
| public       | api_logs                    | statut_code             | integer                     | YES         | null                                            |
| public       | api_logs                    | message                 | text                        | YES         | null                                            |
| public       | api_logs                    | date_call               | timestamp with time zone    | YES         | now()                                           |
| public       | api_tokens                  | id                      | uuid                        | NO          | uuid_generate_v4()                              |
