Trigger présent dans Supabase 

| table_name             | trigger_name                          | event  | timing | action_statement                                    |
| ---------------------- | ------------------------------------- | ------ | ------ | --------------------------------------------------- |
| aide_modules           | trg_audit_aide_modules                | INSERT | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| aide_modules           | trg_audit_aide_modules                | UPDATE | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| aide_modules           | trg_audit_aide_modules                | DELETE | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| alertes                | trg_audit_alertes                     | UPDATE | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| alertes                | trg_audit_alertes                     | DELETE | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| alertes                | trg_audit_alertes                     | INSERT | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| api_logs               | trg_audit_api_logs                    | DELETE | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| api_logs               | trg_audit_api_logs                    | INSERT | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| api_logs               | trg_audit_api_logs                    | UPDATE | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| api_tokens             | trg_audit_api_tokens                  | INSERT | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| api_tokens             | trg_audit_api_tokens                  | DELETE | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| api_tokens             | trg_audit_api_tokens                  | UPDATE | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| boissons               | trg_user_id_default_boissons          | INSERT | BEFORE | EXECUTE FUNCTION set_user_id_boissons()             |
| documents              | trg_audit_documents                   | UPDATE | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| documents              | trg_audit_documents                   | INSERT | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| documents              | trg_audit_documents                   | DELETE | AFTER  | EXECUTE FUNCTION insert_audit_log()                 |
| facture_lignes         | trg_facture_ligne                     | INSERT | AFTER  | EXECUTE FUNCTION update_product_pmp()               |
| facture_lignes         | trg_facture_total                     | DELETE | AFTER  | EXECUTE FUNCTION refresh_facture_total()            |
| facture_lignes         | trg_facture_total                     | UPDATE | AFTER  | EXECUTE FUNCTION refresh_facture_total()            |
| facture_lignes         | trg_facture_total                     | INSERT | AFTER  | EXECUTE FUNCTION refresh_facture_total()            |
| facture_lignes         | trg_update_prix_produit               | INSERT | AFTER  | EXECUTE FUNCTION update_product_prix()              |
| fiche_lignes           | trg_fiche_lignes_cost                 | INSERT | AFTER  | EXECUTE FUNCTION refresh_fiche_cost()               |
| fiche_lignes           | trg_fiche_lignes_cost                 | UPDATE | AFTER  | EXECUTE FUNCTION refresh_fiche_cost()               |
| fiche_lignes           | trg_fiche_lignes_cost                 | DELETE | AFTER  | EXECUTE FUNCTION refresh_fiche_cost()               |
| fiches                 | trg_fiche_update_cost                 | UPDATE | AFTER  | EXECUTE FUNCTION refresh_fiche_cost()               |
